2026-02-09 20:34:15 | INFO     | EXECUTION_SERVICE    | 📊 Dashboard starting | PID=2921223 | Thread=DashboardThread
2026-02-09 21:34:08 | INFO     | EXECUTION_SERVICE    | 📦 Loading ScriptMaster from disk
2026-02-09 22:34:09 | INFO     | EXECUTION_SERVICE    | 📦 Loading ScriptMaster from disk
2026-02-09 23:34:10 | INFO     | EXECUTION_SERVICE    | 📦 Loading ScriptMaster from disk
2026-02-10 00:34:11 | INFO     | EXECUTION_SERVICE    | ⬇️ Downloading NSE scripmaster
2026-02-10 00:34:11 | INFO     | EXECUTION_SERVICE    | ⬇️ Downloading NFO scripmaster
2026-02-10 00:34:13 | INFO     | EXECUTION_SERVICE    | ⬇️ Downloading BSE scripmaster
2026-02-10 00:34:13 | INFO     | EXECUTION_SERVICE    | ⬇️ Downloading BFO scripmaster
2026-02-10 00:34:13 | INFO     | EXECUTION_SERVICE    | ⬇️ Downloading MCX scripmaster
2026-02-10 00:34:16 | INFO     | EXECUTION_SERVICE    | 🎯 ScriptMaster refreshed & cached
2026-02-10 01:34:11 | INFO     | EXECUTION_SERVICE    | 📦 Loading ScriptMaster from disk
2026-02-10 02:07:41 | WARNING  | EXECUTION_SERVICE    | 🛑 Received shutdown signal: 15
2026-02-10 02:07:41 | INFO     | EXECUTION_SERVICE    | Initiating graceful shutdown sequence (30s timeout)...
2026-02-10 02:07:41 | INFO     | EXECUTION_SERVICE    | 🤖 Shutting down trading bot...
2026-02-10 02:07:42 | INFO     | EXECUTION_SERVICE    | 📊 Stopping dashboard server...
2026-02-10 02:07:42 | INFO     | EXECUTION_SERVICE    | ⏳ Waiting for dashboard thread (timeout=28.4s)...
2026-02-10 02:07:42 | INFO     | EXECUTION_SERVICE    | Dashboard server stopped
2026-02-10 02:07:42 | INFO     | EXECUTION_SERVICE    | ✅ Graceful shutdown complete in 1.7s
2026-02-10 02:07:42 | INFO     | EXECUTION_SERVICE    | 🏁 Execution service stopped
2026-02-10 02:48:11 | INFO     | EXECUTION_SERVICE    | ======================================================================
2026-02-10 02:48:11 | INFO     | EXECUTION_SERVICE    | 🚀 STARTING EXECUTION SERVICE (PRODUCTION — FREEZE-READY)
2026-02-10 02:48:11 | INFO     | EXECUTION_SERVICE    | ======================================================================
2026-02-10 02:48:11 | INFO     | EXECUTION_SERVICE    | PID: 2965680
2026-02-10 02:48:11 | INFO     | EXECUTION_SERVICE    | Python: 3.9.25 (main, Nov 12 2025, 00:00:00) 
[GCC 11.5.0 20240719 (Red Hat 11.5.0-5)]
2026-02-10 02:48:11 | INFO     | EXECUTION_SERVICE    | CWD: /home/ec2-user/shoonya_platform
2026-02-10 02:48:11 | INFO     | EXECUTION_SERVICE    | 📋 Log files (rotating, 50MB max, 10 backups):
2026-02-10 02:48:11 | INFO     | EXECUTION_SERVICE    |    - execution_service.log (main service)
2026-02-10 02:48:11 | INFO     | EXECUTION_SERVICE    |    - trading_bot.log (bot logic)
2026-02-10 02:48:11 | INFO     | EXECUTION_SERVICE    |    - command_service.log (command execution)
2026-02-10 02:48:11 | INFO     | EXECUTION_SERVICE    |    - order_watcher.log (order tracking)
2026-02-10 02:48:11 | INFO     | EXECUTION_SERVICE    |    - risk_manager.log (risk management)
2026-02-10 02:48:11 | INFO     | EXECUTION_SERVICE    |    - execution_guard.log (trade guard)
2026-02-10 02:48:11 | INFO     | EXECUTION_SERVICE    |    - dashboard.log (dashboard API)
2026-02-10 02:48:11 | INFO     | EXECUTION_SERVICE    | Loading configuration...
2026-02-10 02:48:11 | INFO     | EXECUTION_SERVICE    | Initializing ShoonyaBot (SINGLE INSTANCE)
2026-02-10 02:48:29 | INFO     | EXECUTION_SERVICE    | 📦 Loading ScriptMaster from disk
2026-02-10 02:48:29 | INFO     | EXECUTION_SERVICE    | ✅ Global bot instance registered
2026-02-10 02:48:29 | INFO     | EXECUTION_SERVICE    | Signal handlers installed
2026-02-10 02:48:30 | INFO     | EXECUTION_SERVICE    | Initializing execution HTTP service...
2026-02-10 02:48:30 | INFO     | EXECUTION_SERVICE    | Execution service configuration:
2026-02-10 02:48:30 | INFO     | EXECUTION_SERVICE    |   Host       : 0.0.0.0
2026-02-10 02:48:30 | INFO     | EXECUTION_SERVICE    |   Port       : 5000
2026-02-10 02:48:30 | INFO     | EXECUTION_SERVICE    |   Threads    : 4
2026-02-10 02:48:30 | INFO     | EXECUTION_SERVICE    |   Telegram   : ENABLED
2026-02-10 02:48:30 | INFO     | EXECUTION_SERVICE    | Starting dashboard server...
2026-02-10 02:48:30 | INFO     | EXECUTION_SERVICE    | 📦 Loading ScriptMaster from disk
2026-02-10 02:48:32 | INFO     | EXECUTION_SERVICE    | ✅ Dashboard started on port 8000 (shared session)
2026-02-10 02:48:33 | INFO     | EXECUTION_SERVICE    | ======================================================================
2026-02-10 02:48:33 | INFO     | EXECUTION_SERVICE    | ✅ EXECUTION SERVICE READY — ACCEPTING WEBHOOKS
2026-02-10 02:48:33 | INFO     | EXECUTION_SERVICE    | ======================================================================
2026-02-10 02:48:39 | INFO     | EXECUTION_SERVICE    | 📊 Dashboard starting | PID=2965680 | Thread=DashboardThread
2026-02-10 03:48:29 | INFO     | EXECUTION_SERVICE    | 📦 Loading ScriptMaster from disk
2026-02-10 04:48:30 | INFO     | EXECUTION_SERVICE    | 📦 Loading ScriptMaster from disk
2026-02-10 05:21:24 | INFO     | EXECUTION_SERVICE    | ======================================================================
2026-02-10 05:21:24 | INFO     | EXECUTION_SERVICE    | 🚀 STARTING EXECUTION SERVICE (PRODUCTION — FREEZE-READY)
2026-02-10 05:21:24 | INFO     | EXECUTION_SERVICE    | ======================================================================
2026-02-10 05:21:24 | INFO     | EXECUTION_SERVICE    | PID: 2997533
2026-02-10 05:21:24 | INFO     | EXECUTION_SERVICE    | Python: 3.9.25 (main, Nov 12 2025, 00:00:00) 
[GCC 11.5.0 20240719 (Red Hat 11.5.0-5)]
2026-02-10 05:21:24 | INFO     | EXECUTION_SERVICE    | CWD: /home/ec2-user/shoonya_platform
2026-02-10 05:21:24 | INFO     | EXECUTION_SERVICE    | 📋 Log files (rotating, 50MB max, 10 backups):
2026-02-10 05:21:24 | INFO     | EXECUTION_SERVICE    |    - execution_service.log (main service)
